"","x"
"Abramis_brama",1.65986
"Accipiter_gentilis",-0.04545
"Accipiter_nisus",-0.0495
"Aegithalos_caudatus",5.09075
"Aegolius_funereus",-0.06289
"Anas_sp.",1.56799
"Apodemus_agrarius",13.97288
"Apodemus_flavicollis",12.02424
"Apodemus_sylvaticus",13.41654
"Arvicola_terrestris",8.40257
"Asio_otus",-0.03597
"Astacus_sp.",3.50652
"Bison_bonasus",0.17
"Bonasa_bonasia",1.94774
"Bufo_sp.",3.67512
"Buteo_buteo",-0.03472
"Canis_lupus",-0.04854
"Capreolus_capreolus",0.66
"Carcass",NA
"Carduelis_carduelis",4.55838
"Carduelis_chloris",3.83313
"Carduelis_spinus",4.55838
"Certhia_familiaris",5.09075
"Cervus_elaphus",0.43
"Clethrionomys_glareolus",13.97288
"Coccothraustes_coccothraustes",3.23782
"Columba_livia",2.03279
"Columba_palumbus",1.86466
"Corvus_corone",1.80457
"Corvus_frugilegus",1.91231
"Cygnus_sp.",0.84246
"Dendrocopos_leucotos",2.78832
"Dendrocopos_major",2.94829
"Dendrocopos_medius",3.16814
"Dendrocopos_minor",4.11896
"Dryocopus_martius",2.10137
"Dryomys_nitedula",11.74974
"Emberiza_citrinella",3.76758
"Erinaceus_concolor",1.79457
"Garrulus_glandarius",2.42428
"Gasterosteus_aculeatus",5.15919
"Glaucidium_passerinum",-0.16667
"Glis_glis",8.4352
"Lacerta_sp.",4.17166
"Lepus_europaeus",2.11021
"Leuciscus_idus",1.29531
"Lutra_lutra",-0.05495
"Lynx_lynx",-0.04219
"Martes_martes",-0.05495
"Micromys_minutus",16.87041
"Microtus_agrestis",12.95586
"Microtus_arvalis",13.58969
"Microtus_oeconomus",12.56478
"Misgurnus_fossilis",2.60719
"Mus_musculus",14.18627
"Mustela_erminea",-0.08
"Mustela_nivalis",-0.10989
"Mustela_putorius",-0.09009
"Mustela_vison",-0.08772
"Natrix_natrix",2.31061
"Neomys_fodiens",4.8306
"Nucifraga_caryocatactes",2.34469
"Nyctereutes_procyonoides",-0.06024
"Parus_caeruleus",4.84166
"Parus_major",4.2808
"Pelobates_fuscus",5.08556
"Picoides_tridactylus",3.10538
"Picus_viridis",2.34469
"Pitymys_subterraneus",13.97288
"Prunella_modularis",4.11896
"Pyrrhula_pyrrhula",3.94328
"Rana_arvalis",5.97786
"Rana_esculenta",4.41411
"Rana_temporaria",4.27643
"Rattus_norvegicus",6.76173
"Regulus_regulus",5.89658
"Scardinius_erythrophthalmus",1.59186
"Sciurus_vulgaris",6.64182
"Scolopax_rusticola",2.16526
"Sicista_betulina",16.87041
"Sitta_europaea",3.98373
"Sorex_araneus",5.55598
"Sorex_minutus",7.09991
"Strix_aluco",-0.04464
"Sus_scrofa",0.93
"Sylvia_atricapilla",4.2808
"Talpa_europaea",1.79176
"Tinca_tinca",1.16801
"Troglodytes_troglodytes",5.24288
"Undet._amphibians",4.38478
"Undet._bats",0.54232
"Undet._birds",2.15553
"Vulpes_vulpes",-0.04695
